web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1567324945-226","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kitena Suttles","One of the better ones I have tried","April 6, 2019","I really liked the ease of putting this on and that it came with luxuries most don't. It came with instructions (I watched the YouTube instruction video), a cloth, the screen, stickers, and wet/dry wipes.  I messed up several times because I kept getting dust or hair (we have dogs) under the screen, but luckily it was very easy to remove, re-clean, and set.  Eventually I got perfection and was very happy with this product.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews"
"1567325021-355","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Nadroj","Installation has vastly improved!","April 5, 2019","Things have come a long way since the days of trying to squeeguee out every little bubble. I followed the suggested YouTube clip and this screen protector settled right onto the iPad screen without a single bubble or mote of dust underneath. I'd give it 5 stars, but have no idea how it holds up over time - just got it installed on the device!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&pageNumber=36&reviewerType=all_reviews"
"1567324833-26","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Chris_1200","Sadly disappointed","August 20, 2019","It pains me to write this review because I've often used Sparin screen protectors in the past due to their quality fit and finish. Unfortunately this one doesn't live up to their reputation.
First, I have to say that I pride myself on being able to install these protectors perfectly, with no dust or bubbles. I know it sounds like hubris, but I do it for all of my friends and family members because of the results I'm able to get. It's a limited talent, but it's what I've got.
However, I cannot get the edges and the holes to line up with this screen protector. There is a noticeable ripple and curvature to the edges. It's simply not cut correctly. It's difficult enough to get right, due to the size of the thing, but because the cutouts don't line up it's impossible to have the edges aligned with the sides and the holes centered around the sensor and camera. If it was only slightly off it would be fine, but if I center the holes one edge hangs off just enough to not stick down. I finally got it close enough but the corners and parts of the edge don't adhere. It's not in the visible area, so I wasn't concerned, but over time the gaps are spreading farther into the screen area. It's slowly peeling itself off. Picture attached.
I contacted Sparin, and while they agreed to send a replacement, their attitude was that my installation was clearly at fault. They made it clear that they did not consider this a warranty issue. They said they would, out of the goodness of their hearts, give me ONE MORE to try again. There is not one spec of dust under it, and it is lined up with the sides as perfectly as I could get it.
I will try the replacement in the hope that this was a rare factory defect, but based on the poor quality control, and the attitude of their customer service, if it doesn't work I won't buy another one from Sparin. I've deducted a star for each issue.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1567325141-411","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","SCWer","Three Stars","September 16, 2016","All was good except....there are three large circular bubbles. Bubbles.....

UPDATE: I received an email from the firm and they said they would send a replacement.  I indicated I might be out of town until the end of September, but no replacement has come.  I will update again if it comes, and if it solved the bubble issue.

UPDATE #2:  In spite of a promise, the company never sent a replacement. However, I dropped the iPad and....surprisingly...the one inch circular bubble disappeared.  I now like the unit, no bubbles, but...won't change the rating because customer service did not follow thru...","3.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_42?ie=UTF8&pageNumber=42&reviewerType=all_reviews"
"1567324863-81","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","JTheod","Great customer service!","January 29, 2019","I could never get all the bubbles out with the first protector I installed. Customer service read my review and emailed to ask me if I wanted them to replace the one I ordered  due to the bubble problem. I said sure, so they promptly sent the replacement. Well, I was pretty sure it would still be an issue, but I was very surprised. Following directions very carefully I installed the screen protector perfectly the second time around. You need to be very careful and keep the screen side from getting any dust or fingerprints on it when you do the install. The screen protector fits perfectly and does not effect any of the iPad operations. Recommend this product.
Thanks Customer Service for really standing behind your product!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1567324920-186","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Tiffani","The BEST screen protector I have ever applied!","December 9, 2018","I opened this up at the same time as I opened up my new ipad 6. After removing the packaging from the iPad, there were enough particles to warrant a cleaning before applying the screen protector. I followed the instructions carefully, and most importantly, WATCHED THE INSTRUCTIONAL VIDEO. I had the new screen protector on my iPad in under 10 minutes. I was very caution as I placed the protector down onto the glass, but it melded seamlessly to the iPad screen, not one single bubble of air or particle of dust!! You can't even tell its there!
I have had many phones and electronics over the past 15 or so years and applying a screen protector is something I dreaded doing because they never came put just right. This was super easy and came out perfect the first time!
Take your time, watch the video, and follow the directions carefully and I am sure your installation will be as seamless as mine! Thanks!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews"
"1567325017-349","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","MizzWicked","It Saved my sons ipad!!!","July 3, 2019","I always buy my screen protectors from this seller. My son has his ipad he drops ALOT! I can't believe how strong these screen protectors are. He dropped the ipad on very sharp gravel and rocky area in the forest and it cracked badly but it didn't go to the actual ipad screen. I was soo shocked how it protects. This is my 4th time buying this one.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_35?ie=UTF8&pageNumber=35&reviewerType=all_reviews"
"1567325021-357","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Baeleigh Kelly","Great screen protector and great company","May 16, 2019","The first screen protector I received I had a ton of trouble putting on, as I don’t have much experience installing my own tempered glass protectors. But the customer support team reached out to me soon after I received the product and I explained to them the situation and they sent me another one for free! The second one I took a little more time and diligence installing and it looks SO beautiful on my screen. It fits perfectly and you can barely tell it’s there. My apple pencil glides very nicely over it as of it’s not even there. I am super pleased not only with the product (now that I got it on right) but also with customer support. They were wonderful throughout the entire process.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&pageNumber=36&reviewerType=all_reviews"
"1567324889-135","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Miza","Ipad survived my 2 year old jumping on it. I repurchased this protector, and will again :)","July 16, 2018","This is amazing. With it installed, you can't even tell it's there! No issues with touch input or lighting, and the best part? It actually keeps your ipad screen SAFE!
I was worried that my new ipad would just implode on contact of my house since I have two young (and destructive) sons.
I nearly had a heart attack when my eldest told me that his brother had been JUMPING on my ipad. The screen was cracked he said. You can imagine my relief when I saw that it wasn't the screen that was broken, but the protector!
Immediately bought another one of these, and I'll buy another again if the need ever occurs.

TL;DR

Buy this. It keeps your screen protected.
It's amazing.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews"
"1567325005-323","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Island Girl","Nice Cover","July 12, 2019","Didn't realize this was ""tempered glass"" when I purchased, so I wasn't too sure about that when it arrived, BUT it says it's bombproof so I went with it. Looks great, works great, installation was a pain. Difficult to line up perfectly, and air bubbles were really hard to squeeze out, but now works great, and the fact that it's not perfectly aligned is not a huge deal.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_33?ie=UTF8&pageNumber=33&reviewerType=all_reviews"
"1567325078-399","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Raymond Cahill","Great product","April 17, 2018","I've installed screen protectors on 3 iPads and 2 iPhones. This was the easiest to install and the quality so far is great.  I watched a number of YouTube videos before attempting to install the screen protector on my iPad V6.  May not have been necessary but to watch that many but I like knowing what to expect.  Bad experiences in the past with other products. Note I don't recall the recommended video showing where to attach the third tab.  Some of the other videos do.  Anyway, I followed the instructions and video examples and the screen protector went on without a hitch.  Not a single bubble.  Highly recommend.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_40?ie=UTF8&pageNumber=40&reviewerType=all_reviews"
"1567324863-90","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kurt","Sparin screen protector","July 12, 2016","Just installed it ... Works fine with your fingers ... Haven't tried the pencil yet.

Installation is a little tricky... I tried to use the hinge method in the directions but the sticky paper wasn't sticky enough and they came loose, so I just placed the screen down using the edges to hold onto and slowly put it into place... It was on right but it had bubbles... I tried to move the bubbles from the center to the edges without much success, so I tried something different... I picked up the left side from the edge using a fingernail at the top and bottom and raised it up enough to create a gap to the middle of the screen and then let the screen protector back down slowly and all the bubbles disappeared.  Did the same thing on the right side with similar results.  Doing it like this doesn't change the alignment of the screen on the iPad since half is still sticking while the other half is relaid from the center out eliminating the bubbles.

Packaging, supplies, product quality ... all first rate.  Screen seems to be extra hard, so it should offer good protection.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1567324889-131","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Alp","Better than expected!","February 2, 2019","I have purchased tempered glass protection for all my tech. but I have to say, the Sparing glass for my new iPad 9.7"" Was better than expected. Product exceeded expectations. Well made, great packaging and directions. Very pleased!  The product box it came in was well constructed, and glass sheet was well protected, with plenty of padding. The directions were clear and simple to follow.  It featured a novel, and idiot-proof, way to line up and place the glass on the surface. Having screwed up this part of the process frequently, I was thrilled. The method also helps you avoid annoying fingerprints on the glass. Really happy.  Well done!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews"
"1567325078-398","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Nicole D","Excellent and very pleased with decision!!!!!","January 2, 2017","I purchased three of these and added one to each device over a 2 week span. So far, we are all extremely pleased with the screen. Very smooth, extremely easy to apply, and the tablet responds perfectly. It really provides a natural feel (natural meaning as though there is no screen protector on the tablet). I had to reapply mine because it was slightly misaligned, and it was not difficult, just be delicate. If you must remove, I suggest contacting the company, they appear extremely helpful. Otherwise, I've had no problems and certainly recommend!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_40?ie=UTF8&pageNumber=40&reviewerType=all_reviews"
"1567324833-23","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Kristen","BRA-VO ! Amazed at this product! It saved the iPad!","April 23, 2019","I was so bummed when our 1 year old dropped the ipad and left a crack in the screen- and we only owned it for a month! I jumped on Apple support and added the Apple Care for 2 years; paid the $49 in addition to the Apple Care and had a box shipped to me to repair the iPad screen. But as I was taking the outer protective shell and this tempered glass off, I was shocked to see that the iPad was NOT cracked- the tempered glass was! This screen protector completely saved the iPad's screen! It absorbed all of the blow. THANK YOU for such an amazing product. Ordering two more to keep handy- these kids around here are dangerous to iPads!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1567325030-378","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Gabriela S","Cracks very easily","April 15, 2019","For the price of this product I am very disappointed with its performance. I have used cheaper products and had much better results. This chipped within the first 2 hours of being on my iPad. The application was very easy, but after two months it looks like I’ve thrown my iPad across the room several times. I have never dropped my iPad on a hard surface. Only carpet. Sometimes it gets tipped over on the table, but that should not shatter the cover. I would suggest searching for a different brand.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_38?ie=UTF8&pageNumber=38&reviewerType=all_reviews"
"1567324920-190","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","JaLene T","Great poduct and fantastic customer service","January 3, 2019","I ordered this screen protector for my new iPad and totally flubbed up trying to apply it. No ones fault but my own. I replied to their satisfation email telling them the product was exactly as expected and was happy with my purchase but explained I couldnt get it installed properly. Again completely my fault. Betty in their customer service dept was so kind and non-judgemental and offered to send me a replacement screen to try it again. Wow! Not what I was asking for or expecting. The new screen came and I had a friend help me install it for a completely bubble free prefectly fitting screen protector. Couldn't be happier with the quality or the customer service. I would order from this company again in a heartbeat!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews"
"1567324973-274","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Cassus Maximus","I would definitely recommend the Sparin Screen Protector if you are interested in ...","January 1, 2017","The Sparin glass screen protector fit perfectly on my iPad Pro 9.7 and has protected my iPad from several drops and falls without a scratch or any breakage. I am very impressed with the quality and the clarity of the Sparin Glass Screen Protector and would definitely buy this brand again. I did find that this glass screen protector adds some weight to my iPad Pro 9.7 which is a side effect of providing protection for the screen. I would definitely recommend the Sparin Screen Protector if you are interested in protecting your device's screen.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&pageNumber=28&reviewerType=all_reviews"
"1567324863-87","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Pete","This protector literally saved me hundreds of dollars","September 27, 2017","A week after buying this I was listening to music on my ipad with headphone plugged in it.  The ipad was sitting on my desk, after half an hour I go and pick up a pen that rolled on the floor, the cord got stuck in the arm rest of my chair and when I turned the chair it yanked the ipad off the desk and it went screen first into the floor and made noise even with headphones on.  My heart sank the second I heard the noise, I pick it up and the first thing I notice are 3 big cracks.  I couldnt tell if it was the protector only or the screen too.  I slowly peeled the protector off and to my relief the screen was in the exact condition as it was when I put the protector on. I figured over time this protector would eventually get a scratch or two if I'm not lucky.  I've put these protectors on all my phones and never once did a drop from a few feet or sometimes even further leave any marks really.  This ipad I bought was only a few weeks old and without this protector I would be spending hundreds on a new screen.

The first thing I did after taking off the cracked protector was to come back here and order another one.  Until it arrives I'm keeping my ipad put away because I really dont want to take the chance of dropping it again on accident.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
